Arabic,English,Arabic Pl,English Pl,Example
عطشان,thirsty,,,عِطاش
شوك,thorn,أشواك,thorns,
خيط,thread,خيوط,threads,
مهلهل,threadbare,,,ثوب قديم (مهلهل)
عتبة,threshold,,,الوصول إلى * الشهرة
مسرف,thrifty,,,
تشويق,thriller,,,
حلق,throat,حلوق,throats,
حنجرة,throat,حناجر,throats,
البلطجية,thugs,,,
شبيحة,thugs,,,
إبهام,thumb,أباهيم,thumbs,
رَعد,thunder,رعود,thunder claps,
تيّار,tide,تيارات,tides,
تعادل,tie,,,
نمر,tiger,نمور,tigers,
ضيّق,tight,,,
حياء,timidity,,,
الصفيح,tin,,,
إطار,tire,إطارات,tires,
مُتعَب,tired,,,
أنسجة,tissue,,,
أحجم,to abstain,,,لماذا شاركنا ولماذا أحجمنا
تعسّف,to abuse,,,
واكب,to accompany,,,
أبرأ,to acquit,,,
أردف,to add,,,لكنه (أردف) كأنه يعتذر إن مصطفى ...
عدّل,to adjust,,,
تفاقم,to aggrivate,,,
أدهش,to amaze,,,
ضايق,to annoy so,,,
تراءى,to appear,,,تراءى الجبل شاهقا
اعتقل,to arrest so,,,
اقتحم,"to assault, to storm",,,
هاجم,to attack,,,
بشّر,to be a missionary,,,
اندهش,to be amazed,,,
اختتن,to be circumcised,,,
احتضر,to be dying,,,
انعقد,to be held,,,
تسمم,to be poisoned,,,
صكّ,to beat,,,(صكت) الأم وجهها وتأوه الأب
استعار,to borrow,,,
استلف,to borrow money,,,
ترجرج,to bounce,,,سطح الكارو المترجرج
قاطع,to boycott,,,
اندلع,to break out,,,
تنفس,to breathe,,,
أحضر,to bring,,,
شيّد,to build,,,
تجشأ,to burp,,,
نبّه,to call attention to,,,
ناشد,to call for,,,
ألغى,to cancel,,,
زُكِمَ,to catch a cold,,,
وطّد,to cement,,,
طارد,to chase,,,
لاحق,to chase,,,
زقزق,"to chirp, to tweet",,,
قطّع,to chop,,,
تداول,to circulate,,,
مشّط,to comb,,,
أتبع,to comply with,,,
أدان,"to condemn, to convict",,,
أجرى,to conduct,,,
حيّر,to confuse,,,
شوّش,to confuse,,,
واصل,to continue,,,الكويت تواصل اعتقال عشرات الفلسطينيين منذ عام 1991
تنصر,to convert to Christianity,,,
أسلم,to convert to Islam,,,
تهود,to convert to Judaism,,,
صادم,to crash into,,,
واعد,to date,,,
زغلل,to dazzle,,,
انخفض,to decrease,,,
تبرز,to defecate,,,
استنكر,"to denounce, to condemn",,,
استأهل,to deserve,,,
صمّم,to design,,,
دبّر,to devise,,,
شخّص,to diagnose,,,
استبعد,to dismiss,,,
شتّت,to disperse,,,المحتشدين
فرّق,to disperse,,,المتظاهرين
شرّد,to displace,,,
ذوّب,to dissolve s.t.,,,
طلّق,to divorce,,,
تفادى,to dodge,,,تفاديت ركلة قوية
تخاذلَ,to droop,,,تجلى التخاذل في عيني درويش
تدنّى,to drop,,,
أحرج,to embarass,,,
أخجل,to embarrass so,,,
عانَقَ,to embrace,,,إنه يعانق الجنان.
نفّذ,"to enforce, to execute",,,
استساغ,to enjoy the taste of,,,
أمحى,to eradicate,,,
صعّد,to escalate,,,
أخلى,to evacuate,,,
تجاوز,to exceed,,,
أعدم,to execute so,,,
تمدّ,to extend,,,
أقلع,to extract,,,
تزحزح,to fade,,,ثم أخذت هذه الثقة تتزحزح شيئا فشيئا
لفّق,to falsify,,,
أبرز,to feature,,,بعض الصحف ردود الفعل
تشاجر,to fight,,,
أحال,to fire (s.o.),,,
غازل,to flirt,,,
أفزع,to frighten,,,
زبّد,to froth (milk),,,
تجهّم,to frown,,,
احتشد,"to gather, to rally",,,
اقترض,to get a loan,,,
تحسن,to get better,,,
استفحل,to get worse,,,
استفحل,to get worse,,,بها حدة تستفحل مع الأيام.
تربّى,to grow up,,,
ترعرع,to grow up,,,
نما,to grow up,,,
ضمّن,to guarantee,,,
راود,to haunt,,,
فطر,to have breakfast,يفُطر فطر,,
تعشى,to have dinner,,,
تغدى,to have lunch,,,
آزر,"to help, to back",,,
ساند,"to help, to back ",,,
توظف,to hire,,,
زمّر,to honk,,,
حلّق,to hover,,,
أشعل,to ignite,,,
تصوّر,to imagine,,,
طبّق,to implement,,,
دشّن,to inaugurate,,,
تضمّن,to include,,,
ورِث,to inherit,,,
آذى,to injure,,,
ألهم,to inspire,,,
أساء,"to insult, to offend",,,
أهان,"to insult, to offend",,,
اجتاح,to invade,,,المشكلة التي تجتاح كل شيء
برّر,to justify,,,
اختطف,to kidnap,,,
قبّل,to kiss,,,
تسرّب,to leak,,,
أعار,to lend,,,
سلّف,to lend money,,,
اضطجع,to lie down,,,
توانى,to linger,,,
تسكع,to loiter,,,
تربصَ,to lurk,,,كان لا بد من اختيار فتوة جديد للحارة قبل أن تدوسها أقدام الحارات المتربصة.
أوضح,to manifest,,,
سيّح,to melt s.t.,,,
صلّح,to mend,,,
قلّص,to minimize,,,
ضلّل,to mislead,,,
استهزأ,to mock,,,
أهمل,to neglect,,,
حمحم,to neigh,,,
هدراً,"to no avail, in vain",,,
عرقل,to obstruct,,,
أغفل,to omit,,,مع عدم إغفال للثقافات الأخرى
عارض,to oppose,,,
ناهض,to oppose,,,
ذلّل,to overcome,,,
دحر,to overpower,,,* العصابة الإرهابية
اجتاح,to overrun,,,
قشّر,to peel s.th.,,,
لوّث,to pollute,,,
أرجأ,to postpone,,,
بوّز,to pout,,,
أشاد,to praise,,,
امتدح,to praise,,,
ترأس,"to preside over, to head",,,
وفّر,to provide,,,
نقّى,to purify,,,
داهم,to raid,,,
عقلن,to rationalize,,,
استلم,to receive,,,
تسلّم,to receive,,,
تلقّى,to receive,,,
استجم,to recover,,,التقط أنفاسه واستجم
استوفى,to recover,,,
عوّل,to rely on,,,
أزال,to remove,,,
التمس,to request,,,
شابه,to resemble,,,
اعتزم,"to resolve, to intend",,,
استعد,to restore,,,
قيّد,to restrict,,,
تقاعد,to retire,,,
استعرض,to review,,,
تخمر,to rise,,,الخبز يتخمر
زمجر,to roar,,,
أقلع,to sail,,,
حفِظ,to save,,,
اقتصد,to save money,,,
أغرى,to seduce,,,
جبّر,to set a bone,,,
تصافح,to shake hands,,,تحترم وتتحدث وتصافح عدوك
أبرز,to show,,,
أظهر,to show,,,
ارتجف,to shudder,,,
تأوّه,to sigh,,,
تنهّد,to sigh,,,
وقّع,to sign,,,
غرغر,to simmer,,,
سكّن,to soothe,,,
تهجّى,to spell,,,
أشاع,to spread,,,
تربع,to squat,,,
عقّم,to sterilize,,,
سبّك,to stew (food),,,
حرّك,to stir,,,
التوى,to strain,,,
تأتأ,to stutter,,,عندما تخاطب نفسك هل تُتأتئ؟
لخّص,to summarize,,,
أيّد,to support,,,
حاصر,to surround,,,
تعرق,to sweat,,,
أقلع,to take off,,,
روّض,to tame,,,
ازدهر,"to thrive, to flourish",,,
تحمّل,to tolerate,,,
عالج,to treat,,,
اسودّ,to turn black,,,يسودّ اسوداد
أطفأ,to turn off,,,
احمرّ,to turn red,,,يحمر احمرار
تشنج,to twitch,,,
استخف,to underestimate,,,
استأصل,"to uproot, to eradicate",,,
استفرغ,to vomit,,,
تقيّأ,to vomit,,,
اقترع,to vote,,,
صوّت,to vote,,,
أهدر,to waste,,,
انتحب,to weep,,,
قهقر,to withdraw,,,
أقلق,to worry (s.o.),,,
دمر,to wreak havoc on,,,
تثاءب,to yawn,,,
تبغ,tobacco,,,منتجات التبغ
طليطلة,Toledo,,,
التسامح,tolerance,,,
الليلة,tonight,,,
سن,tooth,أسنان,teeth,
مسواك,toothpick,مساويك,toothpicks,
شعلة,torch,,,شعلة الألعاب الأولمبية
زَوبعة,tornado,زوابع,tornados,
عباب,torrent,,,سيل، فيضان، موج
إجمالي,total,,,
شمولية,totalitarianism,,,
اللمس,touch,,,
بكشير,towel,بكاشير,towels,
منشفة,towel,مناشف,towels,
سَمّية,toxicity,,,
التجارة,trade,,,
مأساة,tragedy,مآس,tragedies,
مزلقان,train tracks,,,
تدريب,training,,,
خائن,traitor,خونة,traitors,
غدّار,traitor,,,
طمأنينة,tranquility,,,للنفس
معاملات,transactions,,,
نقحرة,transliteration,,,
مِذياع,transmitter,,,
شفافية,transparency,,,
فخّ,trap,فخوخ,traps,
نفاية,trash,,,
الترحال,traveling,,,
معاهدة,treaty,معاهدات,treaty,
ميثاق,treaty,مواثيق,treaties,
مثلّث,triangle,مثلّثات,triangles,
رافد,tributary,روافد,tributaries,
إتاوة,tribute,,,إتاوة الأكل
ثالوث,trinity,,,ال* المقدس
حِلى,trinkets,,,الـ* والجواهر.
تفاهة,triviality,,,
قوات,troops,,,
الكَدَر,trouble,,,الويل الويل للحزن و*.
مشاغب,troublemaker,,,
متاعب,troubles,,,
هدنة,truce,هدنات,truces,
شاحنة,truck,شاحنات,trucks,
الدَرَن,tuberculosis,,,
السُل,tuberculosis,,,
وَرَم,tumor,أورام,tumors,
تُنّ,tuna,,,
نغم,tune,أنغام,tunes,
عِمامة,turban,,,* مقلوظة
كُركُم,turmeric,,,
فيروزي,turquoise,,,
سلحفاة,turtle,سلاحف,turtles,
ناب,tusk,أنياب,tusks,
شفق,twilight,,,
تؤام,twin,توائم,twins,
الاستبداد,tyranny,,,
طاغية,tyrant,طُغاة,tyrants,
ضروع,udder,,,
بشِع,ugly,,,
قرحة,ulcer,,,
مظلّة,umbrella,مظلّات,umbrellas,
أعزل,unarmed,العُزْل,the unarmed,
أغلف,uncivilized,,,خفنا أن تعود إلينا بنصرانية (غلفاء)
إغماء,unconsciousness,,,
بموجب,under,,,* الدستور الجديد
مطمُور,underground,,,مقبرة عظام مطمورة
بطالة,unemployment,,,
التعاسة,unhappiness,,,
وخيم,unhealthy,,,
مجهول,unknown,,,
اضطرابات,unrest,,,
فِجّ,unripe,,,
فَذ,unrivaled,,,البراعة الفذة
جامح,unruly,,,
إفك,untruth,,,
حديث,up-to-date,,,
الجَيشان,upheaval,,,الجيَشان  الطائفي
تنجيد,upholstery,,,
مرتفعات,uplands,,,
خَلوق,upright,,,
أورانوس,uranus,,,
التحضر,urbanization,,,
بَول,urine,,,
نفع,"use, utility",,,
نفعي,utilitarian,,,
لقاح,vaccine,,,
عقيق,valley,,,
وادي,valley,وِديان,vallies,
البسالة,valor,,,العسكرية
ثمين,valuable,,,
محبس,valve,,,
الإتلاف,vandalism,,,أتهمتهم بالتجمهر والتظاهر و*
التيه,vanity,,,
أبخرة,vapors,,,
متنوِّع,various,,,
مَزهرية,vase,,,
خَضراوات,vegetables,,,
عرق,vein,عروق,veins,
البندقية,Venice,,,
الزهرة,venus,,,
لفظي,"verbal, phonetic",,,
فقرات,vertebrae,,,
عمودي,vertical,,,
دوخة,vertigo,,,
صدرية,vest,,,
مخضرم,veteran,,,
نقض,veto,,,
أمبولة,vial,,,
قارورة,vial,vials,قوارير,
رذيلة,vice,رذائل,vices,
ضحية,victim,ضحايا,victims,
انتصار,victory,انتصارات,victories,
حيثية,viewpoint,,,
نضارة,vigor,,,يزداد صحة ونضارة
قرية,village,قرى,villages,
السُنبُلة,Virgo,,,
وهمي,virtual,,,
مرئي,visible,,,تعلم أن جدراناً كثيرة مرئية وغير مرئية تحيط بك
رؤية,vision,رؤى,visions,
زائر,visitor,زوّار,visitors,
حيوي,vital,,,
باطل,void,,,
تطوعا,voluntarily,,,
اختياري,voluntary,,,
تقيّؤ,vomiting,,,
قَيء,vomiting,,,
بشهية,voraciously,,,آكل بشهية
بِنهمٍ,voraciously,,,أخذ يشفط الدخان * فوق الوصف
دوامة,vortex,,,
ناخب,voter,ناخبون,voters,
نذر,vow,,,لقد نقضت النذر المقدس
الضعف,vulnerability,,,
شَوحة,vulture,,,
العويل,wailing,,,
خصر,waist,خصور,waists,
وسط,waist,,,
نادل,waiter,نُدُل,waiters,
نزهة,walk,,,
جدار,wall,جدران,walls,
فظّ,walrus,أفظاظ,walruses,
وصي,warden,,,وصي على الشمال
دِفء,warmth,,,
نذير,warning,,,
ثؤلول,wart,,,
غسّالة,washing machine,,,
دبّور,wasp,دبابير,wasps,
بادية,wasteland,بوادي,wastelands,
سقّاء,water carrier,,,
شلّال,waterfall,شلالات,waterfalls,
متهدج,wavering,,,سأله بصوت متهدج،
سبيل,way,سبل,ways,
طريقة,way,طرائق,ways,
عقلية,way of thinking,,,
غِنى,wealth,,,
مكدود,weary,,,زحف عليه الإغراء كما يزحف النوم على المكدود.
عُرس,wedding,أعراس,weddings,
نواح,"weeping, mourning",,,في كل بيت
ويلزي,Welch,,,
رفاهية,welfare,,,
حِنطة,wheat,,,
قَمْح,wheat,,,
عجلة,wheel,عجلات,wheels,
مَصل,whey,,,حليب
كرباج,whip,,,
التهامس,whispering,,,يبدأ بالتهامس مع من حوله
رداءة,wickedness,,,
أرملة,widow,,,
أرمل,widower,,,
عرض,width,,,
مهاة,wild cow,,,
وصية,will,,,كتب
طواعيةً,willingly,,,
صُفصاف,willow,,,
ريح,wind,رياح,winds,
نافذة,window,نوافذ,windows,
نبيذ,wine,,,
جناح,wing,أجنحة,wings,
الحكمة,wisdom,,,
أمنية,wish,أمانٍ,wishes,
الشعوذة,witchcraft,,,
بدهاء,with cunning,,,تحاور برشاقة ومكر ودهاء
بالتمرس,with practice,,,
انطواء,withdrawl,,,يترقب بصبر * آخر ذيول الظلام.
شاهد,witness,شهود,witnesses,
ذئب,wolf,ذئاب,wolves,
صوف,wool,أصواف,wools,
عالم,world,عوالم,worlds,
دُودة,worm,دود | ديدان,worms,
همّ,worry,هموم,worries,
الغضب,wrath,,,
المصارعة,wrestling,,,
جعدة,wrinkle,,,
غضن,wrinkle,غضون,wrinkles,
تجاعيد,wrinkles,,,
رسغ,wrist,أرساغ,wrists,
مِعصم,wrist,معاصم,wrists,
كاتب,writer,كتّاب,writers,
حظيرة,yard,,,
إيزيدي,Yazidi,الإيزيدية,Yazidis,
لهفة,yearning,,,
خميرة,yeast,,,
اليمن,Yemen,,,masculine
فتى,young boy,فتيان,young boys,
فتاة,young girl,فتيات,young girls,
جذع,young man,جذعان,young men,
شابّ,young man,شُبّان,young men,
شابّة,young woman,شابات,young women,
سحّاب,zipper,,,
الزرادشتية,Zoroastrianism,,,
كوسا,zucchini,,,
